,Holiday,Year,Month,Day,Hour,Minute,DofW,Weekend,Normal,Actual,Anomaly,Unit,area
4144,0,2016,5,8,22,0,6,1,1393.4029603479169,1113.7286344482818,-279.67432589963505,GWh,ch
4145,0,2016,5,9,22,0,0,0,1414.2978616852085,1095.0997530849238,-319.19810860028474,GWh,ch
4146,0,2016,5,10,22,0,1,0,1436.8022578525,1088.3653130039586,-348.4369448485413,GWh,ch
4147,0,2016,5,11,22,0,2,0,1460.9161488445834,1088.8455698900516,-372.0705789545318,GWh,ch
4148,0,2016,5,12,22,0,3,0,1486.639534661875,1091.129409859799,-395.510124802076,GWh,ch
4149,0,2016,5,13,22,0,4,0,1513.9724153091668,1088.7177096444254,-425.2547056647413,GWh,ch
4150,0,2016,5,14,22,0,5,1,1542.9147907864583,1097.475776796042,-445.43901399041624,GWh,ch
4151,0,2016,5,15,22,0,6,1,1573.0475218125,1233.447693838309,-339.59982797419093,GWh,ch
4152,0,2016,5,16,22,0,0,0,1604.2219025454167,1238.0312778496766,-366.1906246957401,GWh,ch
4153,0,2016,5,17,22,0,1,0,1636.655883093125,1252.6266253006431,-384.029257792482,GWh,ch
4154,0,2016,5,18,22,0,2,0,1670.3494634560418,1268.6899359551226,-401.65952750091924,GWh,ch
4155,0,2016,5,19,22,0,3,0,1705.3026436337498,1280.4709979491406,-424.83164568460916,GWh,ch
4156,0,2016,5,20,22,0,4,0,1741.515423626667,1296.2501926310058,-445.2652309956611,GWh,ch
4157,0,2016,5,21,22,0,5,1,1778.9878034395833,1319.8039072456922,-459.1838961938911,GWh,ch
4158,0,2016,5,22,22,0,6,1,1817.7197830725,1281.0675152728786,-536.6522677996213,GWh,ch
4159,0,2016,5,23,22,0,0,0,1857.7113625254167,1282.6975462746393,-575.0138162507774,GWh,ch
4160,0,2016,5,24,22,0,1,0,1898.962541793125,1262.3833639804352,-636.5791778126897,GWh,ch
4161,0,2016,5,25,22,0,2,0,1941.4733208760417,1243.4456493476655,-698.0276715283762,GWh,ch
4162,0,2016,5,26,22,0,3,0,1985.2436997737498,1230.5359428579193,-754.7077569158305,GWh,ch
4163,0,2016,5,27,22,0,4,0,2030.2736784866665,1244.378011906027,-785.8956665806395,GWh,ch
4164,0,2016,5,28,22,0,5,1,2076.563257014375,1295.665782652924,-780.8974743614508,GWh,ch
4165,0,2016,5,29,22,0,6,1,2124.112435357292,1625.513740534588,-498.5986948227039,GWh,ch
4166,0,2016,5,30,22,0,0,0,2172.2555872702083,1667.6335780675684,-504.6220092026399,GWh,ch
4167,0,2016,5,31,22,0,1,0,2223.414105879167,1707.1933245340224,-516.2207813451446,GWh,ch
4168,0,2016,6,1,22,0,2,0,2278.036253907708,1747.6171622535267,-530.4190916541816,GWh,ch
4169,0,2016,6,2,22,0,3,0,2333.96665074625,1784.8576839050413,-549.1089668412085,GWh,ch
4170,0,2016,6,3,22,0,4,0,2391.2052963895835,1835.9011498192076,-555.3041465703759,GWh,ch
4171,0,2016,6,4,22,0,5,1,2449.752190838125,1900.4523493455117,-549.2998414926133,GWh,ch
4172,0,2016,6,5,22,0,6,1,2509.6073340966664,2030.4228774459682,-479.18445665069817,GWh,ch
4173,0,2016,6,6,22,0,0,0,2570.770726165208,2087.914102215848,-482.85662394936026,GWh,ch
4174,0,2016,6,7,22,0,1,0,2633.2423670385415,2147.3012976513046,-485.9410693872369,GWh,ch
4175,0,2016,6,8,22,0,2,0,2697.0222567170836,2191.429359313033,-505.59289740405075,GWh,ch
4176,0,2016,6,9,22,0,3,0,2762.110395205625,2235.826927771921,-526.2834674337041,GWh,ch
4177,0,2016,6,10,22,0,4,0,2828.5067824989583,2297.3725657596488,-531.1342167393095,GWh,ch
4178,0,2016,6,11,22,0,5,1,2896.2114185975,2379.121695890717,-517.089722706783,GWh,ch
4179,0,2016,6,12,22,0,6,1,2965.224303506042,2535.220349913376,-430.00395359266577,GWh,ch
4180,0,2016,6,13,22,0,0,0,3035.545437219375,2592.4691984191254,-443.0762388002495,GWh,ch
4181,0,2016,6,14,22,0,1,0,3107.1748197379166,2654.527161773091,-452.6476579648256,GWh,ch
4182,0,2016,6,15,22,0,2,0,3179.7717612747915,2718.5626061110047,-461.2091551637868,GWh,ch
4183,0,2016,6,16,22,0,3,0,3252.5824784820834,2783.421703340411,-469.1607751416723,GWh,ch
4184,0,2016,6,17,22,0,4,0,3325.2018505245833,2880.3222812954955,-444.8795692290878,GWh,ch
4185,0,2016,6,18,22,0,5,1,3397.6298774018755,2968.019821224163,-429.6100561777125,GWh,ch
4186,0,2016,6,19,22,0,6,1,3469.866559114375,3020.555469075476,-449.3110900388988,GWh,ch
4187,0,2016,6,20,22,0,0,0,3541.9118956668754,3067.0137531929236,-474.8981424739518,GWh,ch
4188,0,2016,6,21,22,0,1,0,3613.765887054167,3126.06384125234,-487.7020458018269,GWh,ch
4189,0,2016,6,22,22,0,2,0,3685.4285332766667,3192.3951012400007,-493.033432036666,GWh,ch
4190,0,2016,6,23,22,0,3,0,3756.8998343339586,3261.390296410933,-495.5095379230256,GWh,ch
4191,0,2016,6,24,22,0,4,0,3828.1797902212497,3337.5782611193667,-490.601529101883,GWh,ch
4192,0,2016,6,25,22,0,5,1,3899.2684009385416,3442.3731540583635,-456.8952468801781,GWh,ch
4193,0,2016,6,26,22,0,6,1,3970.165666491041,3694.0205829986803,-276.14508349236075,GWh,ch
4194,0,2016,6,27,22,0,0,0,4040.871586883541,3765.8940524686136,-274.9775344149275,GWh,ch
4195,0,2016,6,28,22,0,1,0,4111.3861621108335,3840.8997954739975,-270.486366636836,GWh,ch
4196,0,2016,6,29,22,0,2,0,4181.709392173333,3931.428464166584,-250.28092800674904,GWh,ch
4197,0,2016,6,30,22,0,3,0,4249.984462627916,4020.4097568146753,-229.57470581324105,GWh,ch
4198,0,2016,7,1,22,0,4,0,4316.36301471375,4118.296571897137,-198.06644281661283,GWh,ch
4199,0,2016,7,2,22,0,5,1,4382.556166124791,4238.041663238925,-144.51450288586602,GWh,ch
4200,0,2016,7,3,22,0,6,1,4448.563916860625,4327.933061880448,-120.63085498017699,GWh,ch
4201,0,2016,7,4,22,0,0,0,4514.386266926876,4423.719284193315,-90.66698273356087,GWh,ch
4202,0,2016,7,5,22,0,1,0,4580.023216322708,4525.685418481221,-54.33779784148737,GWh,ch
4203,0,2016,7,6,22,0,2,0,4645.474765043749,4597.216152001438,-48.25861304231148,GWh,ch
4204,0,2016,7,7,22,0,3,0,4710.740913094792,4665.094329972083,-45.64658312270876,GWh,ch
4205,0,2016,7,8,22,0,4,0,4775.821660475834,4758.815057157635,-17.00660331819836,GWh,ch
4206,0,2016,7,9,22,0,5,1,4840.717007181666,4858.386265862754,17.66925868108774,GWh,ch
4207,0,2016,7,10,22,0,6,1,4905.426953212708,4891.909866638863,-13.517086573845518,GWh,ch
4208,0,2016,7,11,22,0,0,0,4969.9514985737505,4986.680646994356,16.72914842060527,GWh,ch
4209,0,2016,7,12,22,0,1,0,5034.2906432647915,5062.118406607518,27.82776334272694,GWh,ch
4210,0,2016,7,13,22,0,2,0,5098.444387280625,5142.322341453165,43.87795417253983,GWh,ch
4211,0,2016,7,14,22,0,3,0,5162.412730621667,5227.709492131799,65.29676151013246,GWh,ch
4212,0,2016,7,15,22,0,4,0,5226.243954719792,5295.118907992825,68.8749532730335,GWh,ch
4213,0,2016,7,16,22,0,5,1,5289.670097248333,5357.78390126417,68.11380401583665,GWh,ch
4214,0,2016,7,17,22,0,6,1,5352.403767466875,5374.275661696198,21.871894229322606,GWh,ch
4215,0,2016,7,18,22,0,0,0,5414.444965370208,5434.35074454147,19.90577917126211,GWh,ch
4216,0,2016,7,19,22,0,1,0,5475.793690958751,5499.070734317932,23.277043359181334,GWh,ch
4217,0,2016,7,20,22,0,2,0,5536.449944237292,5563.871841576122,27.421897338830604,GWh,ch
4218,0,2016,7,21,22,0,3,0,5596.413725205833,5635.74888128351,39.33515607767731,GWh,ch
4219,0,2016,7,22,22,0,4,0,5655.685033864375,5735.743430193411,80.05839632903553,GWh,ch
4220,0,2016,7,23,22,0,5,1,5714.263870212916,5814.790839788687,100.52696957577064,GWh,ch
4221,0,2016,7,24,22,0,6,1,5772.150234251459,5694.223482047827,-77.92675220363162,GWh,ch
4222,0,2016,7,25,22,0,0,0,5829.344125979999,5726.846548498582,-102.49757748141747,GWh,ch
4223,0,2016,7,26,22,0,1,0,5885.845545398542,5755.573780609342,-130.27176478919955,GWh,ch
4224,0,2016,7,27,22,0,2,0,5941.654492507084,5798.025721338242,-143.62877116884192,GWh,ch
4225,0,2016,7,28,22,0,3,0,5996.770967305624,5837.168386843937,-159.60258046168747,GWh,ch
4226,0,2016,7,29,22,0,4,0,6051.194969794167,5887.338410754611,-163.8565590395565,GWh,ch
4227,0,2016,7,30,22,0,5,1,6103.979193384166,5960.42527954599,-143.5539138381764,GWh,ch
4228,0,2016,7,31,22,0,6,1,6156.139696352709,6093.090589346332,-63.04910700637629,GWh,ch
4229,0,2016,8,1,22,0,0,0,6208.472071449792,6140.187207635724,-68.28486381406765,GWh,ch
4230,0,2016,8,2,22,0,1,0,6260.110616001667,6183.096926621353,-77.01368938031374,GWh,ch
4231,0,2016,8,3,22,0,2,0,6311.055330013958,6223.650940449243,-87.40438956471553,GWh,ch
4232,0,2016,8,4,22,0,3,0,6361.306213485834,6260.938387605734,-100.3678258801001,GWh,ch
4233,0,2016,8,5,22,0,4,0,6410.863266407709,6335.888542818869,-74.97472358883988,GWh,ch
4234,0,2016,8,6,22,0,5,1,6459.726488790001,6418.485522651473,-41.240966138528165,GWh,ch
4235,0,2016,8,7,22,0,6,1,6507.895880631874,6574.673955307496,66.77807467562161,GWh,ch
4236,0,2016,8,8,22,0,0,0,6555.371441928958,6641.6513069278335,86.27986499887538,GWh,ch
4237,0,2016,8,9,22,0,1,0,6602.153172686042,6732.314990677952,130.16181799190963,GWh,ch
4238,0,2016,8,10,22,0,2,0,6648.241072903125,6812.34831873581,164.10724583268438,GWh,ch
4239,0,2016,8,11,22,0,3,0,6693.635142575,6869.053417264083,175.41827468908286,GWh,ch
4240,0,2016,8,12,22,0,4,0,6738.335381707292,6928.008530081507,189.6731483742151,GWh,ch
4241,0,2016,8,13,22,0,5,1,6782.341790299167,6986.248379375734,203.9065890765669,GWh,ch
4242,0,2016,8,14,22,0,6,1,6825.6543683462505,6845.123015965407,19.4686476191564,GWh,ch
4243,0,2016,8,15,22,0,0,0,6868.453800895,6888.846555117783,20.39275422278297,GWh,ch
4244,0,2016,8,16,22,0,1,0,6910.534225819167,6918.857749286707,8.323523467540326,GWh,ch
4245,0,2016,8,17,22,0,2,0,6951.553318148542,6940.856335597492,-10.696982551049587,GWh,ch
4246,0,2016,8,18,22,0,3,0,6991.511077887917,6970.279407724302,-21.23167016361549,GWh,ch
4247,0,2016,8,19,22,0,4,0,7030.407505037292,7009.172280915932,-21.23522412136026,GWh,ch
4248,0,2016,8,20,22,0,5,1,7068.242599596667,7074.732126562375,6.489526965708137,GWh,ch
4249,0,2016,8,21,22,0,6,1,7105.016361571251,7128.293681236651,23.277319665399773,GWh,ch
4250,0,2016,8,22,22,0,0,0,7140.728790960625,7152.673382696809,11.94459173618452,GWh,ch
4251,0,2016,8,23,22,0,1,0,7175.379887759999,7184.764314996824,9.384427236825104,GWh,ch
4252,0,2016,8,24,22,0,2,0,7208.969651969374,7220.817687019756,11.84803505038144,GWh,ch
4253,0,2016,8,25,22,0,3,0,7241.49808358875,7258.7132618238065,17.215178235056555,GWh,ch
4254,0,2016,8,26,22,0,4,0,7272.965182623334,7309.914683052189,36.94950042885466,GWh,ch
4255,0,2016,8,27,22,0,5,1,7303.370949072709,7373.420419057511,70.04946998480227,GWh,ch
4256,0,2016,8,28,22,0,6,1,7332.715382932084,7352.982083594678,20.266700662594303,GWh,ch
4257,0,2016,8,29,22,0,0,0,7360.998484201457,7385.623875324868,24.625391123410736,GWh,ch
